,dia_semana,horario,mortos,causa_acidente,municipio,tipo_veiculo
17693,domingo,20:30:00,0,Acessar a via sem observar a presença dos outros veículos,GASPAR,Caminhonete
17694,domingo,20:30:00,0,Acessar a via sem observar a presença dos outros veículos,GASPAR,Caminhonete
17695,domingo,19:00:00,0,Frear bruscamente,ARAQUARI,Automóvel
17696,domingo,20:10:00,0,Reação tardia ou ineficiente do condutor,CANOINHAS,Caminhonete
17697,domingo,22:40:00,0,Transitar na contramão,BALNEARIO CAMBORIU,Automóvel
17698,domingo,22:40:00,0,Transitar na contramão,BALNEARIO CAMBORIU,Motocicleta
17699,domingo,08:40:00,0,Condutor deixou de manter distância do veículo da frente,ALFREDO WAGNER,Motocicleta
17700,domingo,08:40:00,0,Condutor deixou de manter distância do veículo da frente,ALFREDO WAGNER,Motocicleta
17701,domingo,19:30:00,1,Transitar na contramão,PAPANDUVA,Automóvel
17702,domingo,19:30:00,0,Transitar na contramão,PAPANDUVA,Automóvel
17703,domingo,17:30:00,0,Pista esburacada,CAMPOS NOVOS,Motocicleta
17704,domingo,17:30:00,0,Pista esburacada,CAMPOS NOVOS,
17705,domingo,21:00:00,0,Ausência de reação do condutor,TIJUCAS,Automóvel
17706,segunda-feira,02:25:00,0,Acumulo de areia ou detritos sobre o pavimento,BALNEARIO PICARRAS,Motocicleta
17707,segunda-feira,06:45:00,0,Condutor deixou de manter distância do veículo da frente,SAO JOSE,Motoneta
17708,segunda-feira,06:45:00,0,Condutor deixou de manter distância do veículo da frente,SAO JOSE,Automóvel
17709,segunda-feira,07:25:00,0,Conversão proibida,BLUMENAU,Automóvel
17710,segunda-feira,07:25:00,0,Conversão proibida,BLUMENAU,Motocicleta
17711,segunda-feira,07:25:00,0,Conversão proibida,BLUMENAU,Motocicleta
17712,segunda-feira,07:25:00,0,Transitar na contramão,SAO FRANCISCO DO SUL,Automóvel
17713,segunda-feira,07:25:00,0,Transitar na contramão,SAO FRANCISCO DO SUL,Automóvel
17714,segunda-feira,07:25:00,0,Transitar na contramão,SAO FRANCISCO DO SUL,Automóvel
17715,segunda-feira,07:25:00,0,Transitar na contramão,SAO FRANCISCO DO SUL,Automóvel
17716,segunda-feira,07:25:00,0,Transitar na contramão,SAO FRANCISCO DO SUL,Automóvel
17717,segunda-feira,09:30:00,0,Manobra de mudança de faixa,SAO JOSE,Automóvel
17718,segunda-feira,09:30:00,0,Manobra de mudança de faixa,SAO JOSE,Motocicleta
17719,segunda-feira,10:10:00,0,Reação tardia ou ineficiente do condutor,BIGUACU,Utilitário
17720,segunda-feira,10:10:00,0,Reação tardia ou ineficiente do condutor,BIGUACU,Utilitário
17721,segunda-feira,11:40:00,0,Reação tardia ou ineficiente do condutor,SAO JOSE,Automóvel
17722,segunda-feira,09:00:00,0,Avarias e/ou desgaste excessivo no pneu,ITAJAI,Motocicleta
17723,sexta-feira,06:30:00,0,Acumulo de areia ou detritos sobre o pavimento,SANTA ROSA DO SUL,Motocicleta
17724,segunda-feira,07:40:00,0,Velocidade Incompatível,JOACABA,Automóvel
17725,segunda-feira,14:15:00,0,Reação tardia ou ineficiente do condutor,JAGUARUNA,Automóvel
17726,segunda-feira,14:15:00,0,Reação tardia ou ineficiente do condutor,JAGUARUNA,Automóvel
17727,segunda-feira,14:15:00,0,Reação tardia ou ineficiente do condutor,JAGUARUNA,Automóvel
17728,segunda-feira,15:30:00,0,Chuva,ARAQUARI,Automóvel
17729,segunda-feira,15:30:00,0,Desrespeitar a preferência no cruzamento,BALNEARIO CAMBORIU,Automóvel
17730,segunda-feira,15:30:00,0,Desrespeitar a preferência no cruzamento,BALNEARIO CAMBORIU,Motoneta
17731,segunda-feira,16:30:00,0,Ausência de reação do condutor,RIO DO SUL,Automóvel
17732,segunda-feira,16:30:00,0,Ausência de reação do condutor,RIO DO SUL,Automóvel
17733,segunda-feira,16:30:00,0,Ausência de reação do condutor,RIO DO SUL,Automóvel
17734,segunda-feira,16:30:00,0,Ausência de reação do condutor,RIO DO SUL,Automóvel
17735,segunda-feira,09:00:00,0,Avarias e/ou desgaste excessivo no pneu,SANTA ROSA DO SUL,Motocicleta
17736,segunda-feira,09:00:00,0,Avarias e/ou desgaste excessivo no pneu,SANTA ROSA DO SUL,Motocicleta
17737,segunda-feira,18:40:00,0,Reação tardia ou ineficiente do condutor,SAO JOSE,Motoneta
17738,segunda-feira,18:40:00,0,Reação tardia ou ineficiente do condutor,SAO JOSE,Automóvel
